"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","alive","generation","volume","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
13.3736021328922,341,0,0,0,0,0,0,1,"1",3.5171383916382,96.9538192783966,0,0,0,0,0,0
13.374181727622,342,0,0,0,0,0,0,1,"1",3.51720119179168,97.2364051275054,0,0,0,0,0,0
13.9423882627471,343,0,0,0,0,0,0,1,"1",3.57930996809946,95.8285264637546,0,0,0,0,0,0
13.9476749651263,344,0,0,0,0,0,0,1,"1",3.57989295994608,96.0922585811565,0,0,0,0,0,0
14.0369715702457,345,0,0,0,0,0,0,1,"1",3.58975451546183,96.1068503470118,0,0,0,0,0,0
14.1819775715375,346,0,0,0,0,0,0,1,"1",3.6058262983419,95.9558146655883,0,0,0,0,0,0
14.3989331289728,347,0,0,0,0,0,0,1,"1",3.63000709854534,95.5920995689111,0,0,0,0,0,0
14.4038376675175,348,0,0,0,0,0,0,1,"1",3.63055560454058,95.8530974060199,0,0,0,0,0,0
14.5847713648383,349,0,0,0,0,0,0,1,"1",3.65084861231565,95.5942130338397,0,0,0,0,0,0
14.6628946409369,350,0,0,0,0,0,0,1,"1",3.65964572043338,95.6376728069057,0,0,0,0,0,0
14.7441683646163,351,0,0,0,0,0,0,1,"1",3.66882008394904,95.6710855175517,0,0,0,0,0,0
15.0501533250688,352,0,0,0,0,0,0,1,"1",3.70356713480519,95.043504596418,0,0,0,0,0,0
15.089702335083,353,0,0,0,0,0,0,1,"1",3.70808219321908,95.1974583102626,0,0,0,0,0,0
15.1882289964025,354,0,0,0,0,0,0,1,"1",3.71935430606446,95.1778106814932,0,0,0,0,0,0
15.3308984421128,355,0,0,0,0,0,0,1,"1",3.7357374109968,95.028092433637,0,0,0,0,0,0
15.4416086652693,356,0,0,0,0,0,0,1,"1",3.74850026564915,94.9713151316394,0,0,0,0,0,0
15.9798040587403,357,0,0,0,0,0,0,1,"1",3.81116825016088,93.672064985567,0,0,0,0,0,0
16.1583593180206,358,0,0,0,0,0,0,1,"1",3.83218999277135,93.4191678062138,0,0,0,0,0,0
16.382879944009,359,0,0,0,0,0,0,1,"1",3.85878799564934,93.0343932874159,0,0,0,0,0,0
16.4022275255106,360,0,0,0,0,0,0,1,"1",3.86108864260653,93.2379526404688,0,0,0,0,0,0
16.4241902989674,361,0,0,0,0,0,0,1,"1",3.86370192791279,93.4337085870948,0,0,0,0,0,0
16.4437956046347,362,0,0,0,0,0,0,1,"1",3.86603619922538,93.63595717819,0,0,0,0,0,0
16.6457572394376,363,0,0,0,0,0,0,1,"1",3.89016465182018,93.312245750358,0,0,0,0,0,0
16.7382347159845,364,0,0,0,0,0,0,1,"1",3.90126318735427,93.3031129968074,0,0,0,0,0,0
16.7496418043582,365,0,0,0,0,0,0,1,"1",3.9026343826335,93.5265680085815,0,0,0,0,0,0
16.8096703318515,366,0,0,0,0,0,0,1,"1",3.9098580896883,93.6095355903768,0,0,0,0,0,0
17.0129265020482,367,0,0,0,0,0,0,1,"1",3.93441694264463,93.279386844372,0,0,0,0,0,0
17.1530585293023,368,0,0,0,0,0,0,1,"1",3.95143846845235,93.130641648112,0,0,0,0,0,0
17.1887238210865,369,0,0,0,0,0,0,1,"1",3.95578239581611,93.2811674348616,0,0,0,0,0,0
17.2629251862004,370,0,0,0,0,0,0,1,"1",3.96483521196102,93.3203980038799,0,0,0,0,0,0
17.3267024503332,371,0,0,0,0,0,0,1,"1",3.97263280708218,93.388948341413,0,0,0,0,0,0
17.3740652232532,372,0,0,0,0,0,0,1,"1",3.97843343973514,93.5041406711997,0,0,0,0,0,0
17.4693587286508,373,0,0,0,0,0,0,1,"1",3.99012994093072,93.4806649211517,0,0,0,0,0,0
17.6110450248086,374,0,0,0,0,0,0,1,"1",4.00758438385718,93.3230505404945,0,0,0,0,0,0
17.7445938352426,375,0,0,0,0,0,0,1,"1",4.0241062588162,93.1883941132102,0,0,0,0,0,0
17.7663411895097,376,0,0,0,0,0,0,1,"1",4.02680315544512,93.3743184072868,0,0,0,0,0,0
17.8327538876729,377,0,0,0,0,0,0,1,"1",4.03505020900639,93.4313033227,0,0,0,0,0,0
18.1872551335258,378,0,0,0,0,0,0,1,"1",4.07935832314584,92.6616320648443,0,0,0,0,0,0
18.2726393713324,379,0,0,0,0,0,0,1,"1",4.09010276379707,92.6627084665602,0,0,0,0,0,0
18.4342552065731,380,0,0,0,0,0,0,1,"1",4.11051744772946,92.4457820291948,0,0,0,0,0,0
18.5720167548594,381,0,0,0,0,0,0,1,"1",4.12799937638268,92.2965255711511,0,0,0,0,0,0
18.8269539430438,382,0,0,0,0,0,0,1,"1",4.16054722519806,91.8148453372778,0,0,0,0,0,0
18.841667291148,383,0,0,0,0,0,0,1,"1",4.16243349294316,92.0134821731864,0,0,0,0,0,0
18.8756597162892,384,0,0,0,0,0,0,1,"1",4.16679463079176,92.1571697252171,0,0,0,0,0,0
18.9218279644371,385,0,0,0,0,0,0,1,"1",4.17272521280446,92.2658407552422,0,0,0,0,0,0
18.9252705041884,386,0,0,0,0,0,0,1,"1",4.17316776522654,92.4956823486452,0,0,0,0,0,0
18.9411520072716,387,0,0,0,0,0,0,1,"1",4.17521000455237,92.6899484284721,0,0,0,0,0,0
18.9559700897797,388,0,0,0,0,0,0,1,"1",4.17711639742747,92.8870452925264,0,0,0,0,0,0
18.9897450766275,389,0,0,0,0,0,0,1,"1",4.18146490937879,93.0295981026877,0,0,0,0,0,0
18.9948347519404,390,0,0,0,0,0,0,1,"1",4.18212059479739,93.2541257861298,0,0,0,0,0,0
19.1040566520481,391,0,0,0,0,0,0,1,"1",4.19621608140362,93.1791862990076,0,0,0,0,0,0
19.1148878351388,392,0,0,0,0,0,0,1,"1",4.19761647185801,93.3863307017392,0,0,0,0,0,0
19.2597497024086,393,0,0,0,0,0,0,1,"1",4.21639100728159,93.2076743644743,0,0,0,0,0,0
19.3852721656082,394,0,0,0,0,0,0,1,"1",4.23272698883987,93.0841986829842,0,0,0,0,0,0
19.4931263967338,395,0,0,0,0,0,0,1,"1",4.24681410462188,93.0108995282168,0,0,0,0,0,0
