"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","volume","generation","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
241.2,314.628690496586,0.048780487804878,0.133133665603087,13.9890984581049,4.9468398091815,29.5099813784154,0.000107805194207682,3.83710910119868,0,81.9962847546604,0.0346963461532792,3.64573904185702,1.28921010029039,7.69068082249649,2.80954206316428e-05,0.085750262292911
241.425,316.420289828932,0.048780487804878,0.133367587218862,14.0826149541359,4.98284265091483,29.718382046069,0.000108560613135091,3.86379830562516,0,81.8935836708319,0.0345172228645313,3.64475933788614,1.28962286764827,7.69149414523091,2.80968633836404e-05,0.0858568673794444
241.65,318.210760433236,0.048780487804878,0.133594325059031,14.1762930797372,5.01927563581943,29.9279114417652,0.00010932141298433,3.890673148149,0,81.7880989526519,0.034337072267967,3.64366075995913,1.29007897726062,7.69221939293553,2.80983287008677e-05,0.0859654897876752
241.875,320.000095701645,0.048780487804878,0.133814099738656,14.2701278710647,5.05614276074132,30.1385761733566,0.000110087598716709,3.91773491998528,0,81.6798742735884,0.0341559861684463,3.6424434430899,1.29057806717569,7.69285742626757,2.80998079158258e-05,0.0860761138207435
242.1,321.788288968256,0.048780487804878,0.134027125097673,14.3641145167147,5.09344804168062,30.3503829067452,0.000110859175754773,3.94498492133019,0,81.5689528313212,0.0339740525681098,3.64110758422654,1.29111977441049,7.69340910345267,2.81012926450915e-05,0.0861887243032446
242.325,323.575333511901,0.048780487804878,0.13423360840895,14.4582483530416,5.13119551706027,30.5633383631,0.000111636150004519,3.9724244614235,0,81.4553773530911,0.0337913558111682,3.63965343921494,1.29170373581415,7.69387527941758,2.81027747887028e-05,0.0863033065586461
242.55,325.361222558704,0.048780487804878,0.134433750579971,14.5525248596206,5.16938925076771,30.7774493162974,0.000112418527874389,4.00005485861147,0,81.3391901009192,0.0336079767232583,3.63808131988275,1.29232958884023,7.69425680501319,2.81042465286121e-05,0.0864198463880939
242.775,327.145949284432,0.048780487804878,0.134627746348312,14.6469396548494,5.20803333498735,30.9927225905696,0.00011320631629133,4.02787744041016,0,81.2204328767059,0.0334239927455694,3.63639159123916,1.29299697223583,7.69455452631985,2.81057003263242e-05,0.0865383300505086
243,328.929506816656,0.048780487804878,0.134815784471125,14.7414884916846,5.24713189284008,31.2091650583449,0.000113999522714168,4.05589354356926,0,81.0991470272151,0.0332394780639347,3.6345846687859,1.29370552665505,7.69476928402817,2.81071289198203e-05,0.0866587442438761
243.225,330.711888236737,0.048780487804878,0.134998047908793,14.8361672535095,5.28668908084505,31.4267836382641,0.000114798155144566,4.08410451413628,0,80.9753734489522,0.0330545037330767,3.6326610159356,1.29445489520316,7.69490191288856,2.81085253198629e-05,0.0867810760876475
