"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"54",10,2.5,0.5,41.684194492667,23.060468597865,1000,"REG-ON"
0,"55",50,2.5,0.5,56.9657693037012,37.6965229545261,1000,"REG-ON"
0,"56",200,2.5,0.5,76.2798939933371,56.932712992929,1000,"REG-ON"
0,"57",2,2.75,0.5,33.5951998867517,16.9994376985991,1000,"REG-ON"
0,"58",10,2.75,0.5,36.9155647988223,21.6400447935214,1000,"REG-ON"
0,"59",50,2.75,0.5,50.098048605802,31.0958427728951,1000,"REG-ON"
0,"60",200,2.75,0.5,64.349341131205,46.3439614656258,1000,"REG-ON"
0,"61",2,3,0.5,31.9748523077212,16.8317253273549,1000,"REG-ON"
0,"62",10,3,0.5,33.8650137239598,18.2334591670485,1000,"REG-ON"
0,"63",50,3,0.5,44.8751455266813,28.1486910890019,1000,"REG-ON"
0,"64",200,3,0.5,53.231417562465,38.7242349734592,1000,"REG-ON"
0,"65",2,3.5,0.5,26.8939894638226,13.7503563367359,1000,"REG-ON"
0,"66",10,3.5,0.5,29.9752841692193,16.201858301825,1000,"REG-ON"
0,"67",50,3.5,0.5,36.6011723032972,22.3159294457257,1000,"REG-ON"
0,"68",200,3.5,0.5,44.196346166805,28.8775973917655,1000,"REG-ON"
0,"69",2,4,0.5,24.4013037781126,12.5720638672773,1000,"REG-ON"
0,"70",10,4,0.5,26.4627345504733,14.3089075616752,1000,"REG-ON"
0,"71",50,4,0.5,33.2424201654813,19.0839050422672,1000,"REG-ON"
0,"72",200,4,0.5,36.9355423748675,22.7557172059784,1000,"REG-ON"
0,"73",2,4.5,0.5,22.9594265510113,11.5152643400075,1000,"REG-ON"
0,"74",10,4.5,0.5,24.4343892531856,12.5651616156311,1000,"REG-ON"
0,"75",50,4.5,0.5,28.013345636133,14.9969152412564,1000,"REG-ON"
0,"76",200,4.5,0.5,32.9685489486236,19.4753730242741,1000,"REG-ON"
0,"77",2,5,0.5,21.1157870594491,10.4039974088956,1000,"REG-ON"
0,"78",10,5,0.5,22.6156094252223,11.4719945505319,1000,"REG-ON"
0,"79",50,5,0.5,26.6601889904717,14.5977726416026,1000,"REG-ON"
0,"80",200,5,0.5,30.7829238149381,17.4161715338902,1000,"REG-ON"
1,"81",2,0,0.6,NA,NA,1000,"REG-ON"
1,"82",10,0,0.6,NA,NA,1000,"REG-ON"
1,"83",50,0,0.6,NA,NA,1000,"REG-ON"
1,"84",200,0,0.6,NA,NA,1000,"REG-ON"
0.959,"85",2,0.5,0.6,40.0587338973602,27.3405622033259,1000,"REG-ON"
0.974,"86",10,0.5,0.6,32.8785597905267,24.3967688505668,1000,"REG-ON"
0.987,"87",50,0.5,0.6,24.1353068713694,15.0301106900952,1000,"REG-ON"
0.99,"88",200,0.5,0.6,19.4251439737109,11.4244166957173,1000,"REG-ON"
0.855,"89",2,0.7,0.6,70.1291705662041,59.4781823902643,1000,"REG-ON"
0.913,"90",10,0.7,0.6,53.3168442067635,39.0062763727166,1000,"REG-ON"
0.966,"91",50,0.7,0.6,28.48735326324,25.7935793114763,1000,"REG-ON"
0.976,"92",200,0.7,0.6,25.3263047307112,15.9266106112572,1000,"REG-ON"
0.307,"93",2,0.9,0.6,231.388241707058,237.273687584115,1000,"REG-ON"
0.702,"94",10,0.9,0.6,107.551953770155,108.015007110712,1000,"REG-ON"
0.915,"95",50,0.9,0.6,47.1649004132446,36.1755596065397,1000,"REG-ON"
0.957,"96",200,0.9,0.6,39.0613532118408,34.0342488373563,1000,"REG-ON"
0.013,"97",2,1,0.6,227.083842752812,218.006161400457,1000,"REG-ON"
0.502,"98",10,1,0.6,159.032831283943,153.05502609701,1000,"REG-ON"
0.89,"99",50,1,0.6,56.1294637440333,47.0030946751438,1000,"REG-ON"
0.928,"100",200,1,0.6,45.9719447262051,36.3449960860362,1000,"REG-ON"
0,"101",2,1.1,0.6,144.015446764187,121.918905666247,1000,"REG-ON"
0.171,"102",10,1.1,0.6,233.620226511177,242.620135726947,1000,"REG-ON"
0.833,"103",50,1.1,0.6,77.2159471688657,66.1418454024868,1000,"REG-ON"
0.913,"104",200,1.1,0.6,50.5695613425212,40.6930050331051,1000,"REG-ON"
