"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","cell.type"
10,5999,"22",1,0.1,0.6,"WT"
20,6066,"22",1,0.1,0.6,"WT"
30,11960,"22",1,0.1,0.6,"WT"
40,11935,"22",1,0.1,0.6,"WT"
50,23777,"22",1,0.1,0.6,"WT"
60,23691,"22",1,0.1,0.6,"WT"
70,44912,"22",1,0.1,0.6,"WT"
80,46965,"22",1,0.1,0.6,"WT"
90,70246,"22",1,0.1,0.6,"WT"
100,92936,"22",1,0.1,0.6,"WT"
110,107322,"22",1,0.1,0.6,"WT"
120,183785,"22",1,0.1,0.6,"WT"
130,189289,"22",1,0.1,0.6,"WT"
140,357857,"22",1,0.1,0.6,"WT"
150,363925,"22",1,0.1,0.6,"WT"
160,648399,"22",1,0.1,0.6,"WT"
170,716351,"22",1,0.1,0.6,"WT"
180,1069974,"22",1,0.1,0.6,"WT"
0,5000,"23",1,0.125892541179417,0.6,"WT"
10,4999,"23",1,0.125892541179417,0.6,"WT"
20,5054,"23",1,0.125892541179417,0.6,"WT"
30,9958,"23",1,0.125892541179417,0.6,"WT"
40,9928,"23",1,0.125892541179417,0.6,"WT"
50,19733,"23",1,0.125892541179417,0.6,"WT"
60,19635,"23",1,0.125892541179417,0.6,"WT"
70,37045,"23",1,0.125892541179417,0.6,"WT"
80,38735,"23",1,0.125892541179417,0.6,"WT"
90,57737,"23",1,0.125892541179417,0.6,"WT"
100,76339,"23",1,0.125892541179417,0.6,"WT"
110,87888,"23",1,0.125892541179417,0.6,"WT"
120,150323,"23",1,0.125892541179417,0.6,"WT"
130,154270,"23",1,0.125892541179417,0.6,"WT"
140,290716,"23",1,0.125892541179417,0.6,"WT"
150,295216,"23",1,0.125892541179417,0.6,"WT"
160,524093,"23",1,0.125892541179417,0.6,"WT"
170,577964,"23",1,0.125892541179417,0.6,"WT"
180,859045,"23",1,0.125892541179417,0.6,"WT"
0,5000,"24",1,0.158489319246111,0.6,"WT"
10,4997,"24",1,0.158489319246111,0.6,"WT"
20,5066,"24",1,0.158489319246111,0.6,"WT"
30,9958,"24",1,0.158489319246111,0.6,"WT"
40,9908,"24",1,0.158489319246111,0.6,"WT"
50,19649,"24",1,0.158489319246111,0.6,"WT"
60,19492,"24",1,0.158489319246111,0.6,"WT"
70,36689,"24",1,0.158489319246111,0.6,"WT"
80,38200,"24",1,0.158489319246111,0.6,"WT"
90,56627,"24",1,0.158489319246111,0.6,"WT"
100,74781,"24",1,0.158489319246111,0.6,"WT"
110,85856,"24",1,0.158489319246111,0.6,"WT"
120,145986,"24",1,0.158489319246111,0.6,"WT"
130,149546,"24",1,0.158489319246111,0.6,"WT"
140,280240,"24",1,0.158489319246111,0.6,"WT"
150,283483,"24",1,0.158489319246111,0.6,"WT"
160,500979,"24",1,0.158489319246111,0.6,"WT"
170,550390,"24",1,0.158489319246111,0.6,"WT"
180,814807,"24",1,0.158489319246111,0.6,"WT"
0,10000,"25",1,0.199526231496888,0.6,"WT"
10,9998,"25",1,0.199526231496888,0.6,"WT"
20,10103,"25",1,0.199526231496888,0.6,"WT"
30,19851,"25",1,0.199526231496888,0.6,"WT"
40,19720,"25",1,0.199526231496888,0.6,"WT"
50,39002,"25",1,0.199526231496888,0.6,"WT"
60,38561,"25",1,0.199526231496888,0.6,"WT"
70,72186,"25",1,0.199526231496888,0.6,"WT"
80,74903,"25",1,0.199526231496888,0.6,"WT"
90,110135,"25",1,0.199526231496888,0.6,"WT"
100,144951,"25",1,0.199526231496888,0.6,"WT"
110,164975,"25",1,0.199526231496888,0.6,"WT"
120,279720,"25",1,0.199526231496888,0.6,"WT"
130,284466,"25",1,0.199526231496888,0.6,"WT"
140,530833,"25",1,0.199526231496888,0.6,"WT"
150,533746,"25",1,0.199526231496888,0.6,"WT"
160,936690,"25",1,0.199526231496888,0.6,"WT"
170,1023877,"25",1,0.199526231496888,0.6,"WT"
180,1503965,"25",1,0.199526231496888,0.6,"WT"
0,10000,"26",1,0.251188643150958,0.6,"WT"
10,9988,"26",1,0.251188643150958,0.6,"WT"
20,10075,"26",1,0.251188643150958,0.6,"WT"
30,19754,"26",1,0.251188643150958,0.6,"WT"
40,19520,"26",1,0.251188643150958,0.6,"WT"
50,38355,"26",1,0.251188643150958,0.6,"WT"
60,37751,"26",1,0.251188643150958,0.6,"WT"
70,70249,"26",1,0.251188643150958,0.6,"WT"
80,72323,"26",1,0.251188643150958,0.6,"WT"
90,105913,"26",1,0.251188643150958,0.6,"WT"
100,137564,"26",1,0.251188643150958,0.6,"WT"
110,155519,"26",1,0.251188643150958,0.6,"WT"
120,260816,"26",1,0.251188643150958,0.6,"WT"
130,263097,"26",1,0.251188643150958,0.6,"WT"
140,485521,"26",1,0.251188643150958,0.6,"WT"
150,484227,"26",1,0.251188643150958,0.6,"WT"
160,841404,"26",1,0.251188643150958,0.6,"WT"
170,911076,"26",1,0.251188643150958,0.6,"WT"
180,1327826,"26",1,0.251188643150958,0.6,"WT"
0,15000,"27",1,0.316227766016838,0.6,"WT"
10,14984,"27",1,0.316227766016838,0.6,"WT"
20,15086,"27",1,0.316227766016838,0.6,"WT"
30,29437,"27",1,0.316227766016838,0.6,"WT"
40,28908,"27",1,0.316227766016838,0.6,"WT"
50,56313,"27",1,0.316227766016838,0.6,"WT"
60,54797,"27",1,0.316227766016838,0.6,"WT"
70,100777,"27",1,0.316227766016838,0.6,"WT"
80,102352,"27",1,0.316227766016838,0.6,"WT"
90,147850,"27",1,0.316227766016838,0.6,"WT"
100,189930,"27",1,0.316227766016838,0.6,"WT"
110,211640,"27",1,0.316227766016838,0.6,"WT"
120,349890,"27",1,0.316227766016838,0.6,"WT"
130,348201,"27",1,0.316227766016838,0.6,"WT"
140,634007,"27",1,0.316227766016838,0.6,"WT"
150,623352,"27",1,0.316227766016838,0.6,"WT"
160,1068498,"27",1,0.316227766016838,0.6,"WT"
170,1140490,"27",1,0.316227766016838,0.6,"WT"
180,1639165,"27",1,0.316227766016838,0.6,"WT"
0,22000,"28",1,0.398107170553497,0.6,"WT"
10,21971,"28",1,0.398107170553497,0.6,"WT"
20,22080,"28",1,0.398107170553497,0.6,"WT"
30,42753,"28",1,0.398107170553497,0.6,"WT"
40,41608,"28",1,0.398107170553497,0.6,"WT"
50,80057,"28",1,0.398107170553497,0.6,"WT"
60,76693,"28",1,0.398107170553497,0.6,"WT"
70,138448,"28",1,0.398107170553497,0.6,"WT"
80,138564,"28",1,0.398107170553497,0.6,"WT"
90,196285,"28",1,0.398107170553497,0.6,"WT"
100,247481,"28",1,0.398107170553497,0.6,"WT"
110,270780,"28",1,0.398107170553497,0.6,"WT"
120,438211,"28",1,0.398107170553497,0.6,"WT"
130,427502,"28",1,0.398107170553497,0.6,"WT"
140,760909,"28",1,0.398107170553497,0.6,"WT"
150,733569,"28",1,0.398107170553497,0.6,"WT"
160,1228753,"28",1,0.398107170553497,0.6,"WT"
170,1284849,"28",1,0.398107170553497,0.6,"WT"
180,1805156,"28",1,0.398107170553497,0.6,"WT"
0,43000,"29",1,0.501187233627272,0.6,"WT"
10,42924,"29",1,0.501187233627272,0.6,"WT"
20,42831,"29",1,0.501187233627272,0.6,"WT"
30,82208,"29",1,0.501187233627272,0.6,"WT"
40,78744,"29",1,0.501187233627272,0.6,"WT"
50,148260,"29",1,0.501187233627272,0.6,"WT"
60,139206,"29",1,0.501187233627272,0.6,"WT"
70,244973,"29",1,0.501187233627272,0.6,"WT"
80,238401,"29",1,0.501187233627272,0.6,"WT"
90,327630,"29",1,0.501187233627272,0.6,"WT"
100,401020,"29",1,0.501187233627272,0.6,"WT"
110,425228,"29",1,0.501187233627272,0.6,"WT"
120,667831,"29",1,0.501187233627272,0.6,"WT"
130,630895,"29",1,0.501187233627272,0.6,"WT"
140,1088104,"29",1,0.501187233627272,0.6,"WT"
150,1016461,"29",1,0.501187233627272,0.6,"WT"
160,1649973,"29",1,0.501187233627272,0.6,"WT"
170,1670642,"29",1,0.501187233627272,0.6,"WT"
180,2272093,"29",1,0.501187233627272,0.6,"WT"
0,94000,"30",1,0.630957344480193,0.6,"WT"
10,93743,"30",1,0.630957344480193,0.6,"WT"
20,93153,"30",1,0.630957344480193,0.6,"WT"
30,176110,"30",1,0.630957344480193,0.6,"WT"
40,165113,"30",1,0.630957344480193,0.6,"WT"
50,301542,"30",1,0.630957344480193,0.6,"WT"
60,273737,"30",1,0.630957344480193,0.6,"WT"
70,462176,"30",1,0.630957344480193,0.6,"WT"
80,432815,"30",1,0.630957344480193,0.6,"WT"
90,569689,"30",1,0.630957344480193,0.6,"WT"
100,667075,"30",1,0.630957344480193,0.6,"WT"
110,676283,"30",1,0.630957344480193,0.6,"WT"
120,1013853,"30",1,0.630957344480193,0.6,"WT"
130,916660,"30",1,0.630957344480193,0.6,"WT"
140,1504613,"30",1,0.630957344480193,0.6,"WT"
150,1343560,"30",1,0.630957344480193,0.6,"WT"
160,2073864,"30",1,0.630957344480193,0.6,"WT"
170,2002864,"30",1,0.630957344480193,0.6,"WT"
180,2597455,"30",1,0.630957344480193,0.6,"WT"
0,100000,"31",1,0.794328234724281,0.6,"WT"
