"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
64,0,1000,41,1,0.08321406,3.98107170553497
64,10,880,41,1,0.08321406,3.98107170553497
64,20,607,41,1,0.08321406,3.98107170553497
64,30,673,41,1,0.08321406,3.98107170553497
64,40,339,41,1,0.08321406,3.98107170553497
64,50,274,41,1,0.08321406,3.98107170553497
64,60,125,41,1,0.08321406,3.98107170553497
64,70,94,41,1,0.08321406,3.98107170553497
64,80,34,41,1,0.08321406,3.98107170553497
64,90,10,41,1,0.08321406,3.98107170553497
64,100,5,41,1,0.08321406,3.98107170553497
64,110,2,41,1,0.08321406,3.98107170553497
64,120,3,41,1,0.08321406,3.98107170553497
64,130,2,41,1,0.08321406,3.98107170553497
64,140,1,41,1,0.08321406,3.98107170553497
65,0,1000,41,1,0.08321406,3.98107170553497
65,10,892,41,1,0.08321406,3.98107170553497
65,20,640,41,1,0.08321406,3.98107170553497
65,30,672,41,1,0.08321406,3.98107170553497
65,40,357,41,1,0.08321406,3.98107170553497
65,50,305,41,1,0.08321406,3.98107170553497
65,60,119,41,1,0.08321406,3.98107170553497
65,70,74,41,1,0.08321406,3.98107170553497
65,80,27,41,1,0.08321406,3.98107170553497
65,90,21,41,1,0.08321406,3.98107170553497
65,100,7,41,1,0.08321406,3.98107170553497
65,110,3,41,1,0.08321406,3.98107170553497
66,0,1000,41,1,0.08321406,3.98107170553497
66,10,899,41,1,0.08321406,3.98107170553497
66,20,645,41,1,0.08321406,3.98107170553497
66,30,727,41,1,0.08321406,3.98107170553497
66,40,365,41,1,0.08321406,3.98107170553497
66,50,312,41,1,0.08321406,3.98107170553497
66,60,130,41,1,0.08321406,3.98107170553497
66,70,68,41,1,0.08321406,3.98107170553497
66,80,31,41,1,0.08321406,3.98107170553497
66,90,12,41,1,0.08321406,3.98107170553497
66,100,5,41,1,0.08321406,3.98107170553497
66,110,1,41,1,0.08321406,3.98107170553497
67,0,1000,41,1,0.08321406,3.98107170553497
67,10,908,41,1,0.08321406,3.98107170553497
67,20,611,41,1,0.08321406,3.98107170553497
67,30,669,41,1,0.08321406,3.98107170553497
67,40,330,41,1,0.08321406,3.98107170553497
67,50,278,41,1,0.08321406,3.98107170553497
67,60,115,41,1,0.08321406,3.98107170553497
67,70,69,41,1,0.08321406,3.98107170553497
67,80,32,41,1,0.08321406,3.98107170553497
67,90,16,41,1,0.08321406,3.98107170553497
67,100,6,41,1,0.08321406,3.98107170553497
67,110,3,41,1,0.08321406,3.98107170553497
68,0,1000,41,1,0.08321406,3.98107170553497
68,10,892,41,1,0.08321406,3.98107170553497
68,20,607,41,1,0.08321406,3.98107170553497
68,30,699,41,1,0.08321406,3.98107170553497
68,40,340,41,1,0.08321406,3.98107170553497
68,50,292,41,1,0.08321406,3.98107170553497
68,60,128,41,1,0.08321406,3.98107170553497
68,70,77,41,1,0.08321406,3.98107170553497
68,80,29,41,1,0.08321406,3.98107170553497
68,90,19,41,1,0.08321406,3.98107170553497
68,100,9,41,1,0.08321406,3.98107170553497
68,110,4,41,1,0.08321406,3.98107170553497
68,120,5,41,1,0.08321406,3.98107170553497
68,130,2,41,1,0.08321406,3.98107170553497
68,140,1,41,1,0.08321406,3.98107170553497
69,0,1000,41,1,0.08321406,3.98107170553497
69,10,900,41,1,0.08321406,3.98107170553497
69,20,629,41,1,0.08321406,3.98107170553497
69,30,707,41,1,0.08321406,3.98107170553497
69,40,343,41,1,0.08321406,3.98107170553497
69,50,273,41,1,0.08321406,3.98107170553497
69,60,104,41,1,0.08321406,3.98107170553497
69,70,84,41,1,0.08321406,3.98107170553497
69,80,38,41,1,0.08321406,3.98107170553497
69,90,10,41,1,0.08321406,3.98107170553497
69,100,2,41,1,0.08321406,3.98107170553497
70,0,1000,41,1,0.08321406,3.98107170553497
70,10,883,41,1,0.08321406,3.98107170553497
70,20,592,41,1,0.08321406,3.98107170553497
70,30,639,41,1,0.08321406,3.98107170553497
70,40,327,41,1,0.08321406,3.98107170553497
70,50,278,41,1,0.08321406,3.98107170553497
70,60,123,41,1,0.08321406,3.98107170553497
70,70,84,41,1,0.08321406,3.98107170553497
70,80,34,41,1,0.08321406,3.98107170553497
70,90,26,41,1,0.08321406,3.98107170553497
70,100,15,41,1,0.08321406,3.98107170553497
70,110,10,41,1,0.08321406,3.98107170553497
70,120,6,41,1,0.08321406,3.98107170553497
70,130,1,41,1,0.08321406,3.98107170553497
70,140,1,41,1,0.08321406,3.98107170553497
71,0,1000,41,1,0.08321406,3.98107170553497
71,10,890,41,1,0.08321406,3.98107170553497
71,20,627,41,1,0.08321406,3.98107170553497
71,30,691,41,1,0.08321406,3.98107170553497
71,40,333,41,1,0.08321406,3.98107170553497
71,50,261,41,1,0.08321406,3.98107170553497
71,60,117,41,1,0.08321406,3.98107170553497
71,70,97,41,1,0.08321406,3.98107170553497
71,80,39,41,1,0.08321406,3.98107170553497
71,90,24,41,1,0.08321406,3.98107170553497
71,100,12,41,1,0.08321406,3.98107170553497
71,110,4,41,1,0.08321406,3.98107170553497
71,120,5,41,1,0.08321406,3.98107170553497
71,130,3,41,1,0.08321406,3.98107170553497
71,140,2,41,1,0.08321406,3.98107170553497
71,150,1,41,1,0.08321406,3.98107170553497
71,160,2,41,1,0.08321406,3.98107170553497
71,170,1,41,1,0.08321406,3.98107170553497
71,180,1,41,1,0.08321406,3.98107170553497
72,0,1000,41,1,0.08321406,3.98107170553497
72,10,900,41,1,0.08321406,3.98107170553497
72,20,591,41,1,0.08321406,3.98107170553497
72,30,674,41,1,0.08321406,3.98107170553497
72,40,335,41,1,0.08321406,3.98107170553497
72,50,311,41,1,0.08321406,3.98107170553497
72,60,122,41,1,0.08321406,3.98107170553497
72,70,97,41,1,0.08321406,3.98107170553497
72,80,37,41,1,0.08321406,3.98107170553497
72,90,21,41,1,0.08321406,3.98107170553497
72,100,8,41,1,0.08321406,3.98107170553497
72,110,2,41,1,0.08321406,3.98107170553497
73,0,1000,41,1,0.08321406,3.98107170553497
73,10,900,41,1,0.08321406,3.98107170553497
73,20,616,41,1,0.08321406,3.98107170553497
73,30,667,41,1,0.08321406,3.98107170553497
73,40,336,41,1,0.08321406,3.98107170553497
73,50,270,41,1,0.08321406,3.98107170553497
