"param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","rate","t.end"
"70",5,0.0775176,39.8107170553497,-0.094651073088999,"120"
"70",5,0.0775176,39.8107170553497,-0.094651073088999,"180"
"71",1,0.08321406,63.0957344480194,-0.0748119383124331,"60"
"71",1,0.08321406,63.0957344480194,-0.0748119383124331,"120"
"71",1,0.08321406,63.0957344480194,-0.0748119383124331,"180"
"72",2,0.08058672,63.0957344480194,-0.0880945889248959,"60"
"72",2,0.08058672,63.0957344480194,-0.0880945889248959,"120"
"72",2,0.08058672,63.0957344480194,-0.0880945889248959,"180"
"73",3,0.079134,63.0957344480194,-0.0894298691134817,"60"
"73",3,0.079134,63.0957344480194,-0.0894298691134817,"120"
"73",3,0.079134,63.0957344480194,-0.0894298691134817,"180"
"74",4,0.07814015,63.0957344480194,-0.0903684538909922,"60"
"74",4,0.07814015,63.0957344480194,-0.0903684538909922,"120"
"74",4,0.07814015,63.0957344480194,-0.0903684538909922,"180"
"75",5,0.0775176,63.0957344480194,-0.0952202536467747,"60"
"75",5,0.0775176,63.0957344480194,-0.0952202536467747,"120"
"75",5,0.0775176,63.0957344480194,-0.0952202536467747,"180"
