"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
30,49368,"17",2,0.251188643150958,"REG-ON"
40,48752,"17",2,0.251188643150958,"REG-ON"
50,93060,"17",2,0.251188643150958,"REG-ON"
60,94026,"17",2,0.251188643150958,"REG-ON"
70,120217,"17",2,0.251188643150958,"REG-ON"
80,179621,"17",2,0.251188643150958,"REG-ON"
90,179323,"17",2,0.251188643150958,"REG-ON"
100,338503,"17",2,0.251188643150958,"REG-ON"
110,332298,"17",2,0.251188643150958,"REG-ON"
120,557196,"17",2,0.251188643150958,"REG-ON"
130,628149,"17",2,0.251188643150958,"REG-ON"
140,755040,"17",2,0.251188643150958,"REG-ON"
150,1183286,"17",2,0.251188643150958,"REG-ON"
160,1190317,"17",2,0.251188643150958,"REG-ON"
170,2135797,"17",2,0.251188643150958,"REG-ON"
180,2177368,"17",2,0.251188643150958,"REG-ON"
0,21000,"18",10,0.251188643150958,"REG-ON"
10,20981,"18",10,0.251188643150958,"REG-ON"
20,20950,"18",10,0.251188643150958,"REG-ON"
30,41544,"18",10,0.251188643150958,"REG-ON"
40,41109,"18",10,0.251188643150958,"REG-ON"
50,78775,"18",10,0.251188643150958,"REG-ON"
60,79909,"18",10,0.251188643150958,"REG-ON"
70,102265,"18",10,0.251188643150958,"REG-ON"
80,153972,"18",10,0.251188643150958,"REG-ON"
90,154358,"18",10,0.251188643150958,"REG-ON"
100,293625,"18",10,0.251188643150958,"REG-ON"
110,289653,"18",10,0.251188643150958,"REG-ON"
120,487840,"18",10,0.251188643150958,"REG-ON"
130,553881,"18",10,0.251188643150958,"REG-ON"
140,667035,"18",10,0.251188643150958,"REG-ON"
150,1057087,"18",10,0.251188643150958,"REG-ON"
160,1068822,"18",10,0.251188643150958,"REG-ON"
170,1933688,"18",10,0.251188643150958,"REG-ON"
180,1983400,"18",10,0.251188643150958,"REG-ON"
0,20000,"19",50,0.251188643150958,"REG-ON"
10,19987,"19",50,0.251188643150958,"REG-ON"
20,19959,"19",50,0.251188643150958,"REG-ON"
30,39692,"19",50,0.251188643150958,"REG-ON"
40,39410,"19",50,0.251188643150958,"REG-ON"
50,75861,"19",50,0.251188643150958,"REG-ON"
60,77307,"19",50,0.251188643150958,"REG-ON"
70,99423,"19",50,0.251188643150958,"REG-ON"
80,151083,"19",50,0.251188643150958,"REG-ON"
90,152476,"19",50,0.251188643150958,"REG-ON"
100,292688,"19",50,0.251188643150958,"REG-ON"
110,291069,"19",50,0.251188643150958,"REG-ON"
120,494077,"19",50,0.251188643150958,"REG-ON"
130,566221,"19",50,0.251188643150958,"REG-ON"
140,688502,"19",50,0.251188643150958,"REG-ON"
150,1100309,"19",50,0.251188643150958,"REG-ON"
160,1121828,"19",50,0.251188643150958,"REG-ON"
170,2047485,"19",50,0.251188643150958,"REG-ON"
180,2120062,"19",50,0.251188643150958,"REG-ON"
0,15000,"20",200,0.251188643150958,"REG-ON"
10,14997,"20",200,0.251188643150958,"REG-ON"
20,14980,"20",200,0.251188643150958,"REG-ON"
30,29827,"20",200,0.251188643150958,"REG-ON"
40,29647,"20",200,0.251188643150958,"REG-ON"
50,57187,"20",200,0.251188643150958,"REG-ON"
60,58487,"20",200,0.251188643150958,"REG-ON"
70,75510,"20",200,0.251188643150958,"REG-ON"
80,115073,"20",200,0.251188643150958,"REG-ON"
90,116483,"20",200,0.251188643150958,"REG-ON"
100,224202,"20",200,0.251188643150958,"REG-ON"
110,223749,"20",200,0.251188643150958,"REG-ON"
120,380933,"20",200,0.251188643150958,"REG-ON"
130,438228,"20",200,0.251188643150958,"REG-ON"
140,533987,"20",200,0.251188643150958,"REG-ON"
150,857672,"20",200,0.251188643150958,"REG-ON"
160,877685,"20",200,0.251188643150958,"REG-ON"
170,1607844,"20",200,0.251188643150958,"REG-ON"
180,1671349,"20",200,0.251188643150958,"REG-ON"
0,35000,"21",2,0.316227766016838,"REG-ON"
10,34971,"21",2,0.316227766016838,"REG-ON"
20,34803,"21",2,0.316227766016838,"REG-ON"
30,68697,"21",2,0.316227766016838,"REG-ON"
40,67376,"21",2,0.316227766016838,"REG-ON"
50,127469,"21",2,0.316227766016838,"REG-ON"
60,127455,"21",2,0.316227766016838,"REG-ON"
70,160364,"21",2,0.316227766016838,"REG-ON"
80,237604,"21",2,0.316227766016838,"REG-ON"
90,234015,"21",2,0.316227766016838,"REG-ON"
100,435843,"21",2,0.316227766016838,"REG-ON"
110,422009,"21",2,0.316227766016838,"REG-ON"
120,696050,"21",2,0.316227766016838,"REG-ON"
130,774710,"21",2,0.316227766016838,"REG-ON"
140,914627,"21",2,0.316227766016838,"REG-ON"
150,1417372,"21",2,0.316227766016838,"REG-ON"
160,1404714,"21",2,0.316227766016838,"REG-ON"
170,2481308,"21",2,0.316227766016838,"REG-ON"
180,2494324,"21",2,0.316227766016838,"REG-ON"
0,28000,"22",10,0.316227766016838,"REG-ON"
10,27979,"22",10,0.316227766016838,"REG-ON"
20,27874,"22",10,0.316227766016838,"REG-ON"
30,55071,"22",10,0.316227766016838,"REG-ON"
40,54186,"22",10,0.316227766016838,"REG-ON"
50,102923,"22",10,0.316227766016838,"REG-ON"
60,103609,"22",10,0.316227766016838,"REG-ON"
70,131592,"22",10,0.316227766016838,"REG-ON"
80,196092,"22",10,0.316227766016838,"REG-ON"
90,194789,"22",10,0.316227766016838,"REG-ON"
100,366246,"22",10,0.316227766016838,"REG-ON"
110,357825,"22",10,0.316227766016838,"REG-ON"
120,596253,"22",10,0.316227766016838,"REG-ON"
130,669595,"22",10,0.316227766016838,"REG-ON"
140,798889,"22",10,0.316227766016838,"REG-ON"
150,1249408,"22",10,0.316227766016838,"REG-ON"
160,1249833,"22",10,0.316227766016838,"REG-ON"
170,2230396,"22",10,0.316227766016838,"REG-ON"
180,2264043,"22",10,0.316227766016838,"REG-ON"
0,20000,"23",50,0.316227766016838,"REG-ON"
10,19991,"23",50,0.316227766016838,"REG-ON"
20,19939,"23",50,0.316227766016838,"REG-ON"
30,39534,"23",50,0.316227766016838,"REG-ON"
40,39110,"23",50,0.316227766016838,"REG-ON"
50,74872,"23",50,0.316227766016838,"REG-ON"
60,75987,"23",50,0.316227766016838,"REG-ON"
70,97225,"23",50,0.316227766016838,"REG-ON"
80,146773,"23",50,0.316227766016838,"REG-ON"
90,147248,"23",50,0.316227766016838,"REG-ON"
100,280709,"23",50,0.316227766016838,"REG-ON"
110,277515,"23",50,0.316227766016838,"REG-ON"
120,467272,"23",50,0.316227766016838,"REG-ON"
130,532447,"23",50,0.316227766016838,"REG-ON"
140,641610,"23",50,0.316227766016838,"REG-ON"
150,1020315,"23",50,0.316227766016838,"REG-ON"
160,1033652,"23",50,0.316227766016838,"REG-ON"
170,1872918,"23",50,0.316227766016838,"REG-ON"
180,1926783,"23",50,0.316227766016838,"REG-ON"
0,19000,"24",200,0.316227766016838,"REG-ON"
10,18988,"24",200,0.316227766016838,"REG-ON"
20,18948,"24",200,0.316227766016838,"REG-ON"
30,37629,"24",200,0.316227766016838,"REG-ON"
40,37340,"24",200,0.316227766016838,"REG-ON"
50,71716,"24",200,0.316227766016838,"REG-ON"
60,73080,"24",200,0.316227766016838,"REG-ON"
70,93933,"24",200,0.316227766016838,"REG-ON"
80,142383,"24",200,0.316227766016838,"REG-ON"
90,143650,"24",200,0.316227766016838,"REG-ON"
100,275027,"24",200,0.316227766016838,"REG-ON"
110,273318,"24",200,0.316227766016838,"REG-ON"
120,463478,"24",200,0.316227766016838,"REG-ON"
130,530325,"24",200,0.316227766016838,"REG-ON"
140,643653,"24",200,0.316227766016838,"REG-ON"
150,1027746,"24",200,0.316227766016838,"REG-ON"
160,1046501,"24",200,0.316227766016838,"REG-ON"
170,1907297,"24",200,0.316227766016838,"REG-ON"
180,1972751,"24",200,0.316227766016838,"REG-ON"
0,49000,"25",2,0.398107170553497,"REG-ON"
10,48922,"25",2,0.398107170553497,"REG-ON"
20,48566,"25",2,0.398107170553497,"REG-ON"
30,95134,"25",2,0.398107170553497,"REG-ON"
40,92527,"25",2,0.398107170553497,"REG-ON"
50,172624,"25",2,0.398107170553497,"REG-ON"
60,170203,"25",2,0.398107170553497,"REG-ON"
70,210674,"25",2,0.398107170553497,"REG-ON"
80,306032,"25",2,0.398107170553497,"REG-ON"
90,295488,"25",2,0.398107170553497,"REG-ON"
100,539092,"25",2,0.398107170553497,"REG-ON"
110,511673,"25",2,0.398107170553497,"REG-ON"
120,824950,"25",2,0.398107170553497,"REG-ON"
130,898703,"25",2,0.398107170553497,"REG-ON"
140,1038434,"25",2,0.398107170553497,"REG-ON"
150,1572308,"25",2,0.398107170553497,"REG-ON"
160,1524544,"25",2,0.398107170553497,"REG-ON"
170,2632069,"25",2,0.398107170553497,"REG-ON"
180,2587563,"25",2,0.398107170553497,"REG-ON"
0,40000,"26",10,0.398107170553497,"REG-ON"
10,39944,"26",10,0.398107170553497,"REG-ON"
20,39711,"26",10,0.398107170553497,"REG-ON"
30,78104,"26",10,0.398107170553497,"REG-ON"
40,76257,"26",10,0.398107170553497,"REG-ON"
50,143342,"26",10,0.398107170553497,"REG-ON"
60,142445,"26",10,0.398107170553497,"REG-ON"
70,178292,"26",10,0.398107170553497,"REG-ON"
80,261586,"26",10,0.398107170553497,"REG-ON"
90,255645,"26",10,0.398107170553497,"REG-ON"
100,472600,"26",10,0.398107170553497,"REG-ON"
110,454372,"26",10,0.398107170553497,"REG-ON"
120,743084,"26",10,0.398107170553497,"REG-ON"
130,821618,"26",10,0.398107170553497,"REG-ON"
140,962842,"26",10,0.398107170553497,"REG-ON"
150,1480336,"26",10,0.398107170553497,"REG-ON"
160,1457055,"26",10,0.398107170553497,"REG-ON"
170,2553608,"26",10,0.398107170553497,"REG-ON"
180,2548339,"26",10,0.398107170553497,"REG-ON"
0,25000,"27",50,0.398107170553497,"REG-ON"
10,24972,"27",50,0.398107170553497,"REG-ON"
20,24860,"27",50,0.398107170553497,"REG-ON"
