"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
30,167306,"63",5,0.3003958,1.58489319246111,"WT"
40,119599,"63",5,0.3003958,1.58489319246111,"WT"
50,129884,"63",5,0.3003958,1.58489319246111,"WT"
60,62543,"63",5,0.3003958,1.58489319246111,"WT"
0,100000,"64",10,0.2956701,1.58489319246111,"WT"
10,99999,"64",10,0.2956701,1.58489319246111,"WT"
20,100837,"64",10,0.2956701,1.58489319246111,"WT"
30,182239,"64",10,0.2956701,1.58489319246111,"WT"
40,118282,"64",10,0.2956701,1.58489319246111,"WT"
50,80240,"64",10,0.2956701,1.58489319246111,"WT"
60,21273,"64",10,0.2956701,1.58489319246111,"WT"
0,100000,"65",20,0.28002,1.58489319246111,"WT"
10,100000,"65",20,0.28002,1.58489319246111,"WT"
20,101297,"65",20,0.28002,1.58489319246111,"WT"
30,182168,"65",20,0.28002,1.58489319246111,"WT"
40,67938,"65",20,0.28002,1.58489319246111,"WT"
50,21032,"65",20,0.28002,1.58489319246111,"WT"
60,3016,"65",20,0.28002,1.58489319246111,"WT"
0,100000,"66",1,0.349697,1.99526231496888,"WT"
10,94243,"66",1,0.349697,1.99526231496888,"WT"
20,80204,"66",1,0.349697,1.99526231496888,"WT"
30,120986,"66",1,0.349697,1.99526231496888,"WT"
40,85317,"66",1,0.349697,1.99526231496888,"WT"
50,109279,"66",1,0.349697,1.99526231496888,"WT"
60,68148,"66",1,0.349697,1.99526231496888,"WT"
0,100000,"67",2,0.3185616,1.99526231496888,"WT"
10,97240,"67",2,0.3185616,1.99526231496888,"WT"
20,84543,"67",2,0.3185616,1.99526231496888,"WT"
30,123377,"67",2,0.3185616,1.99526231496888,"WT"
40,80182,"67",2,0.3185616,1.99526231496888,"WT"
50,88597,"67",2,0.3185616,1.99526231496888,"WT"
60,46736,"67",2,0.3185616,1.99526231496888,"WT"
0,100000,"68",5,0.3003958,1.99526231496888,"WT"
10,99726,"68",5,0.3003958,1.99526231496888,"WT"
20,92503,"68",5,0.3003958,1.99526231496888,"WT"
30,122781,"68",5,0.3003958,1.99526231496888,"WT"
40,57617,"68",5,0.3003958,1.99526231496888,"WT"
50,35499,"68",5,0.3003958,1.99526231496888,"WT"
60,9934,"68",5,0.3003958,1.99526231496888,"WT"
0,100000,"69",10,0.2956701,1.99526231496888,"WT"
10,99992,"69",10,0.2956701,1.99526231496888,"WT"
20,97021,"69",10,0.2956701,1.99526231496888,"WT"
30,107566,"69",10,0.2956701,1.99526231496888,"WT"
40,28800,"69",10,0.2956701,1.99526231496888,"WT"
50,8708,"69",10,0.2956701,1.99526231496888,"WT"
60,1311,"69",10,0.2956701,1.99526231496888,"WT"
0,100000,"70",20,0.28002,1.99526231496888,"WT"
10,100000,"70",20,0.28002,1.99526231496888,"WT"
20,97447,"70",20,0.28002,1.99526231496888,"WT"
30,55061,"70",20,0.28002,1.99526231496888,"WT"
40,10829,"70",20,0.28002,1.99526231496888,"WT"
50,2176,"70",20,0.28002,1.99526231496888,"WT"
60,279,"70",20,0.28002,1.99526231496888,"WT"
0,100000,"71",1,0.349697,2.51188643150958,"WT"
10,92793,"71",1,0.349697,2.51188643150958,"WT"
20,74791,"71",1,0.349697,2.51188643150958,"WT"
