"cell.type","t.end","psi90","psi99","psiZMIC"
"KO","130",1.24544709509694,1.33258994781153,1.34226348396503
"KO","140",1.2214342340672,1.30655707734301,1.31582095953196
"KO","150",1.20358833166456,1.28717997870617,1.29616695737102
"KO","160",1.18665311782276,1.26914353749952,1.27797752405103
"KO","170",1.17069344964473,1.25219023860884,1.26093664668643
"KO","180",1.15875083437706,1.23917537909423,1.24782157977456
"KO","190",1.14515208197938,1.22460966574319,1.23318364436981
"KO","200",1.13666261476172,1.21502660650861,1.22352724431253
"KO","210",1.1254277499911,1.20285407065133,1.21131354307205
"KO","220",1.1191220441646,1.1955354876509,1.20387250165706
"KO","230",1.11003146933874,1.18556144245949,1.19384862486675
"KO","240",1.10501702743785,1.17964520703294,1.18783091395725
"KO","250",1.09773262249271,1.17159616202159,1.17972731633204
"KO","260",1.09342677262741,1.16656626051227,1.17460273015381
"KO","270",1.08756262054356,1.16004765512609,1.16803365647122
"KO","280",1.08362583591216,1.15550618643636,1.16342370596089
"KO","290",1.07890270056045,1.15021979899352,1.15806834700287
"KO","300",1.07514192503896,1.14591923256829,1.15372155776703
